1	0	1.000	0.000
2	9	0.988	0.156
3	18	0.951	0.309
4	27	0.891	0.454
5	36	0.809	0.588
6	45	0.707	0.707
7	54	0.588	0.809
8	63	0.454	0.891
9	72	0.309	0.951
10	81	0.156	0.988
11	90	0.000	1.000
12	99	-0.156	0.988
13	108	-0.309	0.951
14	117	-0.454	0.891
15	126	-0.588	0.809
16	135	-0.707	0.707
17	144	-0.809	0.588
18	153	-0.891	0.454
19	162	-0.951	0.309
20	171	-0.988	0.156
21	180	-1.000	0.000
22	189	-0.988	-0.156
23	198	-0.951	-0.309
24	207	-0.891	-0.454
25	216	-0.809	-0.588
26	225	-0.707	-0.707
27	234	-0.588	-0.809
28	243	-0.454	-0.891
29	252	-0.309	-0.951
30	261	-0.156	-0.988
31	270	0.000	-1.000
32	279	0.156	-0.988
33	288	0.309	-0.951
34	297	0.454	-0.891
35	306	0.588	-0.809
36	315	0.707	-0.707
37	324	0.809	-0.588
38	333	0.891	-0.454
39	342	0.951	-0.309
40	351	0.988	-0.156
41 0 0 0
